code,concept
C88657,Melanoma of the Conjunctiva cT4 TNM Finding v7
C88659,Melanoma of the Conjunctiva cNX TNM Finding v7
C88662,Melanoma of the Conjunctiva cN1 TNM Finding v7
C88675,Melanoma of the Iris pT1c TNM Finding v7
C88676,Melanoma of the Iris pT2 TNM Finding v7
C88678,Melanoma of the Iris pT3 TNM Finding v7
C88679,Melanoma of the Iris pT3a TNM Finding v7
C88720,Melanoma of the Uvea cM1 TNM Finding v7
C88721,Melanoma of the Uvea cM1a TNM Finding v7
C88723,Melanoma of the Uvea cM1c TNM Finding v7
C154274,mRNA-based TriMix Melanoma Vaccine ECI-006
C194154,Malignant Melanoma of Unspecified Part of Face
C194888,Melanoma in Situ of Other and Unspecified Parts of Face
C88615,Melanoma of the Conjunctiva Pathologic Primary Tumor TNM Finding v7
C133172,Head and Neck Mucosal Melanoma cM1 TNM Finding v8
C133181,Head and Neck Mucosal Melanoma pT4b TNM Finding v8
C133183,Head and Neck Mucosal Melanoma pNX TNM Finding v8
C133184,Head and Neck Mucosal Melanoma pN0 TNM Finding v8
C140643,Choroidal and Ciliary Body Melanoma pT3b TNM Finding v8
C194151,Malignant Melanoma of Unspecified Ear and External Auricular Canal
C194153,Malignant Melanoma of Left Ear and External Auricular Canal
C82350,Autologous NY-ESO-1-Melanoma-Specific CD8+ T-lymphocytes
C89141,Head and Neck Mucosal Melanoma Clinical TNM Finding v7
C88414,Stage I Cutaneous Melanoma AJCC v7
C11655,Montanide ISA-51/Peptide 946 melanoma vaccine
C87533,Stage IVA Head and Neck Mucosal Melanoma AJCC v7
C87534,Stage IVB Head and Neck Mucosal Melanoma AJCC v7
C116017,Melanoma-Associated Antigen Family A
C171285,Locally Advanced Cutaneous Melanoma
C213513,Temporal Bone Mucosal Melanoma
C213952,Locally Advanced Uveal Melanoma
C214940,Locally Advanced Acral Melanoma
C214941,Locally Advanced Conjunctival Melanoma
C215231,Unresectable Sinonasal Mucosal Melanoma
C7986,Uveal Spindle Cell Melanoma
C133171,Head and Neck Mucosal Melanoma cM0 TNM Finding v8
C133180,Head and Neck Mucosal Melanoma pT4a TNM Finding v8
C140636,Choroidal and Ciliary Body Melanoma pT2 TNM Finding v8
C140649,Choroidal and Ciliary Body Melanoma pT4c TNM Finding v8
C160698,Multiple Known Primary Tumors Present at Initial Melanoma Diagnosis
C160700,Multiple Known Primary Tumors Unknown at Initial Melanoma Diagnosis
C214244,Functional Assessment of Cancer Therapy-Melanoma Version 4 Questionnaire
C88399,Cutaneous Melanoma Clinical Regional Lymph Nodes TNM Finding v7
C136897,Cutaneous Melanoma cM1a TNM Finding v8
C136914,Cutaneous Melanoma cN1c TNM Finding v8
C136915,Cutaneous Melanoma cN2 TNM Finding v8
C136917,Cutaneous Melanoma cN2c TNM Finding v8
C136942,Cutaneous Melanoma pT1a TNM Finding v8
C136945,Cutaneous Melanoma pT2a TNM Finding v8
C136948,Cutaneous Melanoma pT3a TNM Finding v8
C136950,Cutaneous Melanoma pT4 TNM Finding v8
C136954,Cutaneous Melanoma pNX TNM Finding v8
C62402,Signet Ring Melanoma Cell
C88690,Melanoma of the Ciliary Body and Choroid pT1d TNM Finding v7
C88694,Melanoma of the Ciliary Body and Choroid pT2c TNM Finding v7
C137647,Clinical Stage 0 Cutaneous Melanoma AJCC v8
C137655,Clinical Stage III Cutaneous Melanoma AJCC v8
C137672,Pathologic Stage IIIB Cutaneous Melanoma AJCC v8
C78862,Allogeneic Large Multivalent Immunogen Melanoma Vaccine LP2307
C8783,Stage III Acral Lentiginous Melanoma AJCC v7
C137649,Clinical Stage IA Cutaneous Melanoma AJCC v8
C137650,Clinical Stage IB Cutaneous Melanoma AJCC v8
C137652,Clinical Stage IIA Cutaneous Melanoma AJCC v8
C137653,Clinical Stage IIB Cutaneous Melanoma AJCC v8
C137667,Pathologic Stage IIA Cutaneous Melanoma AJCC v8
C88686,Melanoma of the Ciliary Body and Choroid pT1 TNM Finding v7
C88688,Melanoma of the Ciliary Body and Choroid pT1b TNM Finding v7
C88692,Melanoma of the Ciliary Body and Choroid pT2a TNM Finding v7
C88697,Melanoma of the Ciliary Body and Choroid pT3a TNM Finding v7
C88703,Melanoma of the Ciliary Body and Choroid pT4b TNM Finding v7
C88705,Melanoma of the Ciliary Body and Choroid pT4d TNM Finding v7
C88706,Melanoma of the Ciliary Body and Choroid pT4e TNM Finding v7
C111030,Uveal Melanoma by Gene Expression Profile
C140567,Conjunctival Melanoma cT1c TNM Finding v8
C140575,Conjunctival Melanoma cT3a TNM Finding v8
C140580,Conjunctival Melanoma Pathologic TNM Finding v8
C140602,Conjunctival Melanoma pN1 TNM Finding v8
C140604,Uveal Melanoma Clinical TNM Finding v8
C140608,Uveal Melanoma cM1a TNM Finding v8
C140609,Uveal Melanoma cM1b TNM Finding v8
C140610,Uveal Melanoma cM1c TNM Finding v8
C140613,Uveal Melanoma pM1 TNM Finding v8
C140618,Iris Melanoma pT1 TNM Finding v8
C140622,Iris Melanoma pT2 TNM Finding v8
C140626,Iris Melanoma pT3 TNM Finding v8
C140654,Uveal Melanoma pN1a TNM Finding v8
C194157,Malignant Melanoma of Scalp and Neck
C205131,Metastatic Melanoma in the Lymph Nodes
C6118,Ciliary Body Intermediate Cell Type Melanoma
C88386,Cutaneous Melanoma pNX TNM Finding v7
C88390,Cutaneous Melanoma pN2 TNM Finding v7
C88395,Cutaneous Melanoma pM1 TNM Finding v7
C88401,Cutaneous Melanoma cN0 TNM Finding v7
C88403,Cutaneous Melanoma cN2c TNM Finding v7
C88406,Cutaneous Melanoma cM0 TNM Finding v7
C9090,Medium/Large Size Posterior Uveal Melanoma
C91231,Cutaneous Melanoma by AJCC v7 Stage
C112003,Neoantigen-based Melanoma-Poly-ICLC Vaccine
C7916,Stage I Cutaneous Melanoma AJCC v6
C194903,"Melanoma in Situ of Left Lower Limb, Including Hip"
C88620,Melanoma of the Conjunctiva pT(is) TNM Finding v7
C206659,Melanoma Biomarker Reporting CAP Synoptic Pathology Report
C88613,Melanoma of the Conjunctiva TNM Finding v7
C155867,Melanoma Inhibitory Activity Protein 2
C48376,Autologous Dendritic Cell-Allogeneic Melanoma Tumor Cell Lysate Vaccine
C140561,Conjunctival Melanoma Clinical Primary Tumor TNM Finding v8
C140605,Uveal Melanoma Clinical Distant Metastasis TNM Finding v8
C140612,Uveal Melanoma Pathologic Distant Metastasis TNM Finding v8
C194160,"Malignant Melanoma of Unspecified Upper Limb, Including Shoulder"
C194163,"Malignant Melanoma of Unspecified Lower Limb, Including Hip"
C48894,Cutaneous Melanoma Pathologic Primary Tumor TNM Finding v6
C88394,Cutaneous Melanoma Pathologic Distant Metastasis TNM Finding v7
C88405,Cutaneous Melanoma Clinical Distant Metastasis TNM Finding v7
C90543,DCR Ligand-Bearing Liposome-Encapsulated Melanoma Antigens Vaccine
C11656,Montanide ISA-51/Peptide 946-tetanus peptide conjugate melanoma vaccine
C184074,FACIT-Searchable Item Library Adult Version - I Have Swelling at My Melanoma Site
C48638,Recombinant Vaccinia-Multiepitope Melanoma Peptides-B7.1-B7.2 Vaccine
C214291,FACT-M Version 4 - Have Swelling at My Melanoma Site
C131208,Survival Associated Mitochondrial Melanoma Specific Oncogenic Non-Coding RNA
C158834,Primary Site of New Non-Melanoma Tumor Event Question
C111900,Autologous Melanoma Lysate/NY-ESO-1-pulsed Autologous Dendritic Cell Vaccine
C133175,Head and Neck Mucosal Melanoma Pathologic Distant Metastasis TNM Finding v8
C89142,Head and Neck Mucosal Melanoma Clinical Distant Metastasis TNM Finding v7
C136904,Cutaneous Melanoma cM1c(0) TNM Finding v8
C136935,Cutaneous Melanoma pM1d(0) TNM Finding v8
C137657,Cutaneous Melanoma by AJCC v8 Pathologic Stage
C8782,Stage II Acral Lentiginous Melanoma AJCC v6 and v7
C8787,Stage II Lentigo Maligna Melanoma AJCC v6 and v7
C194885,Melanoma in Situ of Unspecified Ear and External Auricular Canal
C48613,Melanoma Arising in Congenital Melanocytic Nevus
C23062,Melanoma of the Mouse Oral Cavity
C158831,Were Subsequent Known Primary Melanoma(s) Found During the Follow-Up Question
C133170,Head and Neck Mucosal Melanoma Clinical Distant Metastasis TNM Finding v8
C133177,Head and Neck Mucosal Melanoma Pathologic Primary Tumor TNM Finding v8
C194896,"Melanoma in Situ of Upper Limb, Including Shoulder"
C88633,Melanoma of the Conjunctiva pN1 TNM Finding v7
C88643,Melanoma of the Conjunctiva cT1a TNM Finding v7
C88645,Melanoma of the Conjunctiva cT1c TNM Finding v7
C88648,Melanoma of the Conjunctiva cT2a TNM Finding v7
C88671,Melanoma of the Iris pT0 TNM Finding v7
C88674,Melanoma of the Iris pT1b TNM Finding v7
C88681,Melanoma of the Iris pT4a TNM Finding v7
C88682,Melanoma of the Iris pT4b TNM Finding v7
C88719,Melanoma of the Uvea cM0 TNM Finding v7
C37828,Melanoma Helper Peptide Vaccine/Montanide ISA-51/Sargramostim
C48859,Cutaneous Melanoma pN2 TNM Finding v6
C5579,Stage III Uveal Melanoma AJCC v7
C88138,Stage IIIB Uveal Melanoma AJCC v7
C27742,Stage IIB Cutaneous Melanoma AJCC v6 and v7
C48840,Cutaneous Melanoma pT0 TNM Finding v6 and v7
C48845,Cutaneous Melanoma pT2 TNM Finding v6 and v7
C48847,Cutaneous Melanoma pT2b TNM Finding v6 and v7
C48849,Cutaneous Melanoma pT3a TNM Finding v6 and v7
C48850,Cutaneous Melanoma pT3b TNM Finding v6 and v7
C48852,Cutaneous Melanoma pT4a TNM Finding v6 and v7
C48853,Cutaneous Melanoma pT4b TNM Finding v6 and v7
C133169,Head and Neck Mucosal Melanoma Clinical TNM Finding v8
C133178,Head and Neck Mucosal Melanoma pT3 TNM Finding v8
C133179,Head and Neck Mucosal Melanoma pT4 TNM Finding v8
C133186,Head and Neck Mucosal Melanoma by AJCC v7 Stage
C140599,Conjunctival Melanoma Pathologic Regional Lymph Nodes TNM Finding v8
C140632,Choroidal and Ciliary Body Melanoma pT1a TNM Finding v8
C140634,Choroidal and Ciliary Body Melanoma pT1c TNM Finding v8
C140638,Choroidal and Ciliary Body Melanoma pT2b TNM Finding v8
C140640,Choroidal and Ciliary Body Melanoma pT2d TNM Finding v8
C140642,Choroidal and Ciliary Body Melanoma pT3a TNM Finding v8
C140644,Choroidal and Ciliary Body Melanoma pT3c TNM Finding v8
C140645,Choroidal and Ciliary Body Melanoma pT3d TNM Finding v8
C140648,Choroidal and Ciliary Body Melanoma pT4b TNM Finding v8
C140651,Choroidal and Ciliary Body Melanoma pT4e TNM Finding v8
C140652,Uveal Melanoma Pathologic Regional Lymph Nodes TNM Finding v8
C194152,Malignant Melanoma of Right Ear and External Auricular Canal
C89144,Head and Neck Mucosal Melanoma cM1 TNM Finding v7
C90572,Autologous Melanoma Lysate/KLH-Pulsed Autologous Dendritic Cell Vaccine
C194148,"Malignant Melanoma of Left Eyelid, Including Canthus"
C213202,Conjunctival Mixed Epithelioid and Spindle Cell Melanoma
C2467,Peptide 946-Tetanus Peptide Conjugate Melanoma Vaccine
C6864,Ciliary Body Spindle Cell Type A Melanoma
C153515,6 Melanoma Helper Peptide Vaccine
C157534,CPTAC Uveal Melanoma Baseline Form
C159409,Margin Uninvolved by Invasive Melanoma
C205132,Metastatic Melanoma in the Viscera
C214939,Locally Advanced Unresectable Acral Melanoma
C215392,Metastatic Melanoma in the Heart
C4238,Type A Spindle Cell Melanoma
C6101,Iris Intermediate Cell Type Melanoma
C88378,Cutaneous Melanoma TNM Finding v7
C90560,Autologous TriMix-DC Melanoma Vaccine
C9089,Small Size Posterior Uveal Melanoma
C11354,Peptide 946 Melanoma Vaccine/QS21
C133182,Head and Neck Mucosal Melanoma Pathologic Regional Lymph Nodes TNM Finding v8
C206658,"Invasive Melanoma of The Skin, Excision, Re-Excision CAP Synoptic Pathology Report"
C89135,Head and Neck Mucosal Melanoma Pathologic Regional Lymph Nodes TNM Finding v7
C88658,Melanoma of the Conjunctiva Clinical Regional Lymph Nodes TNM Finding v7
C88687,Melanoma of the Ciliary Body and Choroid pT1a TNM Finding v7
C88693,Melanoma of the Ciliary Body and Choroid pT2b TNM Finding v7
C88696,Melanoma of the Ciliary Body and Choroid pT3 TNM Finding v7
C88699,Melanoma of the Ciliary Body and Choroid pT3c TNM Finding v7
C88700,Melanoma of the Ciliary Body and Choroid pT3d TNM Finding v7
C88701,Melanoma of the Ciliary Body and Choroid pT4 TNM Finding v7
C11662,gp100 Antigen/Montanide ISA-51/Sargramostim/Tetanus Peptide Melanoma Vaccine/Tyrosinase Peptide
C124236,Membrane-Associated Transporter Protein
C136894,Cutaneous Melanoma Clinical Distant Metastasis TNM Finding v8
C136922,Cutaneous Melanoma Pathologic Distant Metastasis TNM Finding v8
C158630,Did the Individual have Multiple Known Primary Tumors at Initial Melanoma Diagnosis Question
C160741,Subsequent Known Primary Melanoma(s) Found During the Follow-Up
C194897,"Melanoma in Situ of Unspecified Upper Limb, Including Shoulder"
C125145,Have Pain at Melanoma Site Question
C86049,Stage IIIA Cutaneous Melanoma AJCC v7
C98282,Allogeneic GM-CSF-secreting Lethally Irradiated Whole Melanoma Cell Vaccine
C1618,BAGE Tumor Antigen
C140662,Stage IIA Choroidal and Ciliary Body Melanoma AJCC v8
C140583,Conjunctival Melanoma Pathologic Primary Tumor TNM Finding v8
C194150,"Malignant Melanoma of Left Lower Eyelid, Including Canthus"
C194161,"Malignant Melanoma of Right Upper Limb, Including Shoulder"
C90571,Autologous Melanoma Lysate-Pulsed Autologous Dendritic Cell Vaccine
C86034,Stage IIC Cutaneous Melanoma AJCC v6 and v7
C98709,Experimental Organism Benign Melanocytoma
C136918,Cutaneous Melanoma cN3 TNM Finding v8
C136921,Cutaneous Melanoma Pathologic TNM Finding v8
C136939,Cutaneous Melanoma pT0 TNM Finding v8
C136943,Cutaneous Melanoma pT1b TNM Finding v8
C136947,Cutaneous Melanoma pT3 TNM Finding v8
C136957,Cutaneous Melanoma pN1a TNM Finding v8
C136960,Cutaneous Melanoma pN2a TNM Finding v8
C136961,Cutaneous Melanoma pN2c TNM Finding v8
C37509,Montanide ISA-51/Multi-Epitope Melanoma Peptide Vaccine/Sargramostim/Tetanus Peptide Melanoma Vaccine
C137670,Pathologic Stage III Cutaneous Melanoma AJCC v8
C137673,Pathologic Stage IIIC Cutaneous Melanoma AJCC v8
C8788,Stage III Lentigo Maligna Melanoma AJCC v7
C137654,Clinical Stage IIC Cutaneous Melanoma AJCC v8
C137656,Clinical Stage IV Cutaneous Melanoma AJCC v8
C137666,Pathologic Stage II Cutaneous Melanoma AJCC v8
C137669,Pathologic Stage IIC Cutaneous Melanoma AJCC v8
C137671,Pathologic Stage IIIA Cutaneous Melanoma AJCC v8
C137675,Pathologic Stage IIID Cutaneous Melanoma AJCC v8
C89139,Head and Neck Mucosal Melanoma Pathologic Distant Metastasis TNM Finding v7
C103862,Allogeneic Irradiated Melanoma Cell Vaccine CSF470
C140560,Conjunctival Melanoma cM1 TNM Finding v8
C140565,Conjunctival Melanoma cT1a TNM Finding v8
C140570,Conjunctival Melanoma cT2a TNM Finding v8
C140574,Conjunctival Melanoma cT3 TNM Finding v8
C140579,Conjunctival Melanoma cT4 TNM Finding v8
C140592,Conjunctival Melanoma pT2b TNM Finding v8
C140596,Conjunctival Melanoma pT3c TNM Finding v8
C140619,Iris Melanoma pT1a TNM Finding v8
C140624,Iris Melanoma pT2b TNM Finding v8
C140627,Iris Melanoma pT4 TNM Finding v8
C140628,Iris Melanoma pT4a TNM Finding v8
C48896,Cutaneous Melanoma Clinical TNM Finding v6
C88384,Cutaneous Melanoma pT1b TNM Finding v7
C88387,Cutaneous Melanoma pN1 TNM Finding v7
C88389,Cutaneous Melanoma pN1b TNM Finding v7
C88407,Cutaneous Melanoma cM1 TNM Finding v7
C90514,Cutaneous Melanoma by AJCC v6 Stage
C194887,Melanoma in Situ of Left Ear and External Auricular Canal
C88661,Melanoma of the Conjunctiva cN0b (No Biopsy) TNM Finding v7
C88663,Melanoma of the Conjunctiva Clinical Distant Metastasis TNM Finding v7
C88668,Melanoma of the Uvea Pathologic Primary Tumor TNM Finding v7
C194891,Melanoma in Situ of Scalp and Neck
C33992,Melanoma Antigen Recognized by T-Cells 1
C98124,MIA Gene
C26083,Chondroitin Sulfate Proteoglycan 4
C128489,HLA-A2-restricted Melanoma-specific Peptides Vaccine GRN-1201
C133173,Head and Neck Mucosal Melanoma Pathologic TNM Finding v8
C140637,Choroidal and Ciliary Body Melanoma pT2a TNM Finding v8
C140639,Choroidal and Ciliary Body Melanoma pT2c TNM Finding v8
C140641,Choroidal and Ciliary Body Melanoma pT3 TNM Finding v8
C140647,Choroidal and Ciliary Body Melanoma pT4a TNM Finding v8
C160699,Multiple Known Primary Tumors Absent at Initial Melanoma Diagnosis
C48892,Cutaneous Melanoma Pathologic Regional Lymph Nodes TNM Finding v6
C89130,Head and Neck Mucosal Melanoma Pathologic TNM Finding v7
C89136,Head and Neck Mucosal Melanoma pNX TNM Finding v7
C89140,Head and Neck Mucosal Melanoma pM1 TNM Finding v7
C87532,Stage III Head and Neck Mucosal Melanoma AJCC v7
C94814,Clark Level III
C3745,Clear Cell Sarcoma of Soft Tissue
C184073,FACIT-Searchable Item Library Adult Version - Pain at My Melanoma/Surgical Site
C21392,Interferon-Inducible Protein AIM2
C20524,Leukemia Inhibitory Factor
C54308,MCAM wt Allele
C213931,CDISC Questionnaire Functional Assessment of Cancer Therapy-Melanoma Version 4 Test Name Terminology
C88684,Melanoma of the Ciliary Body and Choroid pTX TNM Finding v7
C88685,Melanoma of the Ciliary Body and Choroid pT0 TNM Finding v7
C88707,Melanoma of the Uvea Pathologic Regional Lymph Nodes TNM Finding v7
C88689,Melanoma of the Ciliary Body and Choroid pT1c TNM Finding v7
C88695,Melanoma of the Ciliary Body and Choroid pT2d TNM Finding v7
C88698,Melanoma of the Ciliary Body and Choroid pT3b TNM Finding v7
C88704,Melanoma of the Ciliary Body and Choroid pT4c TNM Finding v7
C136929,Cutaneous Melanoma pM1b(1) TNM Finding v8
C137646,Cutaneous Melanoma by AJCC v8 Clinical Stage
C104492,BAGE Gene
C94816,Clark Level V
C21390,Beta/Gamma Crystallin Domain-Containing Protein 1
C4914,Skin Carcinoma
C8789,Stage IV Lentigo Maligna Melanoma AJCC v6 and v7
C119720,IFIH1 wt Allele
C150681,MAGEA12 Positive
C175393,MAGEA1 Positive
C20475,C-X-C Motif Chemokine 3
C194877,"Melanoma in Situ of Unspecified Eyelid, Including Canthus"
C194889,Melanoma in Situ of Unspecified Part of Face
C194894,Melanoma in Situ of Breast (Skin) (Soft Tissue)
C194900,"Melanoma in Situ of Lower Limb, Including Hip"
C88614,Melanoma of the Conjunctiva Pathologic TNM Finding v7
C88621,Melanoma of the Conjunctiva pT1a TNM Finding v7
C88644,Melanoma of the Conjunctiva cT1b TNM Finding v7
C88646,Melanoma of the Conjunctiva cT1d TNM Finding v7
C88649,Melanoma of the Conjunctiva cT2b TNM Finding v7
C88652,Melanoma of the Conjunctiva cT3 TNM Finding v7
C88655,Melanoma of the Conjunctiva cT3c TNM Finding v7
C88664,Melanoma of the Conjunctiva cM0 TNM Finding v7
C88665,Melanoma of the Conjunctiva cM1 TNM Finding v7
C88667,Melanoma of the Uvea Pathologic TNM Finding v7
C88709,Melanoma of the Uvea pN0 TNM Finding v7
C88712,Melanoma of the Uvea pM1 TNM Finding v7
C88722,Melanoma of the Uvea cM1b TNM Finding v7
C206657,"Invasive Melanoma of The Skin, Biopsy CAP Synoptic Pathology Report"
C194156,Malignant Melanoma of Other Parts of Face
C194159,Malignant Melanoma of Other Part of Trunk
C135574,MAGEA6 Positive
C104493,BAGE wt Allele
C221404,CDKN2A-Related Tumor Predisposition Syndrome
C119721,Interferon-Induced Helicase C Domain-Containing Protein 1
C215235,MAGEL2 wt Allele
C50932,IL24 wt Allele
C21391,AIM2 Gene
C158793,Type of New Melanoma Related Tumor Event Question
C28613,Interleukin-19
C41052,MAGEA12 Gene
C54321,CRYBG1 wt Allele
C136937,Cutaneous Melanoma Pathologic Primary Tumor TNM Finding v8
C160742,Subsequent Known Primary Melanoma(s) Not Found During the Follow-Up
C84755,hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine
C88683,Melanoma of the Ciliary Body and Choroid Pathologic Primary Tumor TNM Finding v7
C194883,"Melanoma in Situ of Left Lower Eyelid, Including Canthus"
C194899,"Melanoma in Situ of Left Upper Limb, Including Shoulder"
C62342,Melanoma Cell with Large Nucleus and Abundant Pale Cytoplasm
C118893,HMB-45
C141404,SLC45A2 Positive
C104525,MAGEC1 wt Allele
C24570,MAGED1 Gene
C2920,Malignant Skin Neoplasm
C104512,MAGEA4 Gene
C133814,PRAME Positive
C49763,CXCL1 wt Allele
C91336,MAGEA11 Gene
C138074,GPNMB Positive
C140660,Stage I Choroidal and Ciliary Body Melanoma AJCC v8
C140664,Stage III Choroidal and Ciliary Body Melanoma AJCC v8
C140665,Stage IIIA Choroidal and Ciliary Body Melanoma AJCC v8
C140667,Stage IIIC Choroidal and Ciliary Body Melanoma AJCC v8
C140668,Stage IV Choroidal and Ciliary Body Melanoma AJCC v8
C140558,Conjunctival Melanoma Clinical Distant Metastasis TNM Finding v8
C140581,Conjunctival Melanoma Pathologic Distant Metastasis TNM Finding v8
C194149,"Malignant Melanoma of Left Upper Eyelid, Including Canthus"
C194162,"Malignant Melanoma of Left Upper Limb, Including Shoulder"
C194164,"Malignant Melanoma of Right Lower Limb, Including Hip"
C11494,Interferon Alfa/Interleukin-2 Liposome/Polyvalent Melanoma Vaccine
C11695,gp100 Antigen/Tetanus Peptide Melanoma Vaccine/Tyrosinase Peptide
C28724,MART-1 Antigen
C43372,Lentigo Maligna
C94812,Clark Level I
C94815,Clark Level IV
C160743,Unknown if Subsequent Known Primary Melanoma(s) Found During the Follow-Up
C107425,MAGEB2 wt Allele
C54307,MAGEA3 wt Allele
C150425,HMB45-Positive Cells Present
C202426,MART-1 Antigen Measurement
C136909,Cutaneous Melanoma Clinical Regional Lymph Nodes TNM Finding v8
C136953,Cutaneous Melanoma Pathologic Regional Lymph Nodes TNM Finding v8
C88637,Melanoma of the Conjunctiva Clinical Primary Tumor TNM Finding v7
C88669,Melanoma of the Iris Pathologic Primary Tumor TNM Finding v7
C88718,Melanoma of the Uvea Clinical Distant Metastasis TNM Finding v7
C16167,gp100 Human Melanoma Peptide Vaccine with Incomplete Freund's Adjuvant
C155866,MIA2 wt Allele
C106354,Syntenin-1
C18271,"5,6-Dihydroxyindole-2-Carboxylic Acid Oxidase"
C107135,NDN wt Allele
C107169,Allogeneic HLA-A2/4-1BB ligand-expressing Melanoma Vaccine
C133176,Head and Neck Mucosal Melanoma pM1 TNM Finding v8
C133185,Head and Neck Mucosal Melanoma pN1 TNM Finding v8
C140631,Choroidal and Ciliary Body Melanoma pT1 TNM Finding v8
C140633,Choroidal and Ciliary Body Melanoma pT1b TNM Finding v8
C140635,Choroidal and Ciliary Body Melanoma pT1d TNM Finding v8
C140646,Choroidal and Ciliary Body Melanoma pT4 TNM Finding v8
C140650,Choroidal and Ciliary Body Melanoma pT4d TNM Finding v8
C88385,Cutaneous Melanoma Pathologic Regional Lymph Nodes TNM Finding v7
C89132,Head and Neck Mucosal Melanoma pT3 TNM Finding v7
C89133,Head and Neck Mucosal Melanoma pT4a TNM Finding v7
C89134,Head and Neck Mucosal Melanoma pT4b TNM Finding v7
C89137,Head and Neck Mucosal Melanoma pN0 TNM Finding v7
C89138,Head and Neck Mucosal Melanoma pN1 TNM Finding v7
C89143,Head and Neck Mucosal Melanoma cM0 TNM Finding v7
C37508,Montanide ISA-51/Multi-Epitope Melanoma Peptide Vaccine/Sargramostim
C87535,Stage IVC Head and Neck Mucosal Melanoma AJCC v7
C134491,MLANA Positive
C95715,Autologous CD8 Positive PBL Sensitized to Drosophila Cell-Presented Melanoma Peptides
C88630,Melanoma of the Conjunctiva Pathologic Regional Lymph Nodes TNM Finding v7
C88691,Melanoma of the Ciliary Body and Choroid pT2 TNM Finding v7
C88702,Melanoma of the Ciliary Body and Choroid pT4a TNM Finding v7
C104517,MAGEA6 Gene
C104527,MAGEC2 Gene
C213943,Functional Assessment of Cancer Therapy-Melanoma Version 4 Questionnaire Question
C131619,MAGEA10 Positive
C38724,Recombinant MAGE-3.1 Antigen
C162804,Uzatresgene Autoleucel
C106593,CD63 Antigen
C1157,Recombinant GRO1 Protein
C178520,TYRP1 Positive
C20951,Baculoviral IAP Repeat-Containing Protein 7
C41037,Melanocyte Protein PMEL
C52436,CSPG4 wt Allele
C104513,MAGEA4 wt Allele
C104518,MAGEA6 wt Allele
C94813,Clark Level II
C27007,Cutaneous Spitz Nevus
C54324,AIM2 wt Allele
C49511,CDKN2A wt Allele
C140630,Choroidal and Ciliary Body Melanoma Pathologic Primary Tumor TNM Finding v8
C158640,Number of Known Primaries at the Time of Initial Melanoma Diagnosis
C214245,Functional Assessment of Cancer Therapy-Melanoma Non-Surgery Version 4 Questionnaire
C89131,Head and Neck Mucosal Melanoma Pathologic Primary Tumor TNM Finding v7
C127929,PRAME wt Allele
C54313,MLANA wt Allele
C115157,MAGEA3 Antibody
C91337,MAGEA11 wt Allele
C141361,MAGEC1 Positive
C147078,MAGEA4 Positive
C17783,Cyclin-Dependent Kinase Inhibitor 1
C20474,C-X-C Motif Chemokine 2
C21261,MCAM Gene
C2560,Recombinant Macrophage Inflammatory Protein-2 Beta
C213932,CDISC Questionnaire Functional Assessment of Cancer Therapy-Melanoma Version 4 Test Code Terminology
C18460,CXCL1 Gene
C104499,MAGEA2 Gene
C107423,MAGEB2 Gene
C122905,NGFI-A-Binding Protein 2
C168793,Melanotransferrin
C17313,Cell Surface Glycoprotein MUC18
C113115,GPNMB wt Allele
C17799,Prolyl Endopeptidase FAP
C104528,MAGEC2 wt Allele
C50926,IL19 wt Allele
C24316,CSPG4 Gene
C43268,HMB-45-Positive Neoplastic Cells Present
C20471,Growth-Regulated Alpha Protein
C21141,Metastasis-Suppressor KiSS-1
C131207,SAMMSON wt Allele
C124263,MAGEA1 Antibody
C135575,MAGEA3 Positive
C98125,MIA wt Allele
C128952,Chemokine (C-X-C Motif) Ligand 1 Measurement
C21524,Interleukin-24
C2767,gp100:280-288 Peptide Vaccine
C164204,Elevated LIF
C104509,MAGEA1 Gene
C104522,MAGEB18 wt Allele
C104496,MAGEA10 Gene
C17951,MAGEA3 Gene
C168792,MELTF wt Allele
C125144,FACT-M Questionnaire
C127928,PRAME Gene
C104497,MAGEA10 wt Allele
C49385,MAGED1 wt Allele
C54305,MAGEA12 wt Allele
C6891,Meningeal Melanomatosis
C111806,MART1 Antibody
C100054,Conjunctival Melanocytic Intraepithelial Lesion
C103830,Recombinant Human Hsp110-gp100 Chaperone Complex Vaccine
C113174,Autologous CT7/MAGE-A3/WT1 mRNA-Electroporated Langerhans-Type Dendritic Cells
C114978,MAGE-A4-specific TCR Gene-transduced Autologous T Lymphocytes TBI-1201
C117181,LOX IMVI
C117192,UACC-62
C118776,Ingenol Mebutate Gel
C128892,Type-1 Polarized Dendritic Cell-induced Antigen-specific Autologous Cytotoxic T Lymphocytes
C12947,Sentinel Lymph Node
C1347,Azimexon
C136825,Cutaneous Spitz Melanocytoma
C136831,Skin Cancer TNM Finding v8
C137951,Belzupacap Sarotalocan
C140075,Penile Cancer by AJCC v8 Stage
C148411,T2d TNM Finding
C1543,Peptide 946
C154325,Dabrafenib/Trametinib Regimen
C159277,Macroscopic Satellite Nodule is Present
C159992,Atezolizumab Regimen
C160047,High-dose Ipilimumab Regimen
C160062,Intralesional Interferon Alfa-2b Regimen
C160074,Larotrectinib Regimen
C160093,Nivolumab Regimen
