code,concept
C5317,Meningeal Melanoma
C7361,Scrotal Melanoma
C8498,Hereditary Melanoma
C8562,Ocular Melanoma
C8601,Retinal Melanoma
C9088,Iris Melanoma
C48846,Cutaneous Melanoma pT2a TNM Finding v6 and v7
C48851,Cutaneous Melanoma pT4 TNM Finding v6 and v7
C48855,Cutaneous Melanoma pN0 TNM Finding v6 and v7
C5577,Stage I Uveal Melanoma AJCC v7
C5578,Stage II Uveal Melanoma AJCC v7
C88139,Stage IIIC Uveal Melanoma AJCC v7
C8423,Stage 0 Cutaneous Melanoma AJCC v6 and v7
C40239,Cervical Melanoma
C159232,Margin Involved by Invasive Melanoma
C214938,Locally Advanced Unresectable Mucosal Melanoma
C214949,Locally Advanced Unresectable Ocular Melanoma
C113841,Melanoma-Associated Antigen Family
C64059,Malignant Uveal Melanoma of the Rat Eyeball
C150544,Refractory Cutaneous Melanoma
C157930,Non-Melanoma Surgery
C171295,Metastatic Ocular Melanoma
C173329,Refractory Ocular Melanoma
C178518,Penile Cutaneous Melanoma
C185639,Canine Oral Melanoma
C190137,Advanced Ocular Melanoma
C190280,Childhood Cutaneous Melanoma
C212032,Metastatic Acral Melanoma
C214947,Unresectable Ocular Melanoma
C4022,Acral Lentiginous Melanoma
C4227,Balloon Cell Melanoma
C4237,Spindle Cell Melanoma
C7914,Recurrent Uveal Melanoma
C36874,Spindle Melanoma Cell
C111020,Uveal Class 1 Melanoma
C111023,Uveal Class 1b Melanoma
C174498,Iris Epithelioid Cell Melanoma
C178453,Urinary System Mucosal Melanoma
C1981,Autologous-Cell Melanoma Vaccine
C48842,Cutaneous Melanoma pT1 TNM Finding v6
C48856,Cutaneous Melanoma pN1 TNM Finding v6
C48857,Cutaneous Melanoma pN1a TNM Finding v6
C48858,Cutaneous Melanoma pN1b TNM Finding v6
C48860,Cutaneous Melanoma pN2a TNM Finding v6
C48861,Cutaneous Melanoma pN2b TNM Finding v6
C118828,Orbital Melanoma
C134572,Medaka Melanoma
C178519,Gastric Melanoma
C7917,Stage II Cutaneous Melanoma AJCC v6 and v7
C159415,CPTAC Melanoma Baseline Form
C54163,Medium Size Melanoma Cell
C8785,Recurrent Lentigo Maligna Melanoma
C64123,Malignant Melanoma of the Rat Skin
C88136,Stage IIB Uveal Melanoma AJCC v7
C156362,Feline Melanoma
C40329,Vulvar Melanoma
C204840,Melanoma in Intermittently Sun-Exposed Skin
C111028,Extrascleral Extension of Uveal Melanoma
C140556,Conjunctival Melanoma TNM Finding v8
C171297,Locally Advanced Non-Cutaneous Melanoma
C214936,Locally Advanced Unresectable Cutaneous Melanoma
C214943,Locally Advanced Unresectable Conjunctival Melanoma
C221405,CDK4-Related Melanoma Predisposition Syndrome
C27920,Solar Radiation-Related Cutaneous Melanoma
C4239,Type B Spindle Cell Melanoma
C159336,CPTAC Melanoma Follow-Up Form
C48814,Melanoma Tumor-Reactive Autologous Tumor Infiltrating Lymphocyte
C194893,Melanoma in Situ of Anal Skin
C194904,Melanoma in Situ of Other Sites
C125151,Have Swelling at Melanoma Site Question
C21796,Mouse Amelanotic Spindle and Epithelioid Melanoma
C86026,Stage IA Cutaneous Melanoma AJCC v7
C86030,Stage IB Cutaneous Melanoma AJCC v7
C86051,Stage IIIB Cutaneous Melanoma AJCC v7
C194875,Melanoma in Situ of Lip
C194892,Melanoma in Situ of Trunk
C133504,Metastatic Melanoma in the Central Nervous System
C86033,Stage IIA Cutaneous Melanoma AJCC v6 and v7
C178317,Personalized Neoantigen Plasmid DNA Melanoma Vaccine EVX-02
C21794,Mouse Amelanotic Spindle-cell Melanoma
C136896,Cutaneous Melanoma cM1 TNM Finding v8
C136910,Cutaneous Melanoma cNX TNM Finding v8
C136911,Cutaneous Melanoma cN0 TNM Finding v8
C136920,Cutaneous Melanoma cN3c TNM Finding v8
C136923,Cutaneous Melanoma pM1 TNM Finding v8
C136924,Cutaneous Melanoma pM1a TNM Finding v8
C136930,Cutaneous Melanoma pM1c TNM Finding v8
C136938,Cutaneous Melanoma pTX TNM Finding v8
C136944,Cutaneous Melanoma pT2 TNM Finding v8
C136955,Cutaneous Melanoma pN0 TNM Finding v8
C136956,Cutaneous Melanoma pN1 TNM Finding v8
C136963,Cutaneous Melanoma pN3 TNM Finding v8
C136964,Cutaneous Melanoma pN3a TNM Finding v8
C136966,Cutaneous Melanoma pN3c TNM Finding v8
C104515,Melanoma-Associated Antigen 4
C104526,Melanoma-Associated Antigen C1
C104529,Melanoma-Associated Antigen C2
C16444,Cloudman S91 Malignant Melanoma
C21792,Mouse Amelanotic Epithelioid Melanoma
C137677,Pathologic Stage IV Cutaneous Melanoma AJCC v8
C8781,Stage I Acral Lentiginous Melanoma AJCC v7
C8786,Stage I Lentigo Maligna Melanoma AJCC v7
C8791,Stage II Low-CSD Melanoma AJCC v7
C8792,Stage III Low-CSD Melanoma AJCC v7
C137668,Pathologic Stage IIB Cutaneous Melanoma AJCC v8
C8793,Stage IV Low-CSD Melanoma AJCC v7
C160667,Melanoma and Non-Melanoma Related Event Occurred after Initial Treatment
C136895,Cutaneous Melanoma cM0 TNM Finding v8
C136900,Cutaneous Melanoma cM1b TNM Finding v8
C136903,Cutaneous Melanoma cM1c TNM Finding v8
C136912,Cutaneous Melanoma cN1 TNM Finding v8
C136913,Cutaneous Melanoma cN1b TNM Finding v8
C136919,Cutaneous Melanoma cN3b TNM Finding v8
