cell_line_id,cell_line_name,organ,site_type,disease,age,sex,category,species
CVCL_R741,"UMT33,Uveal Melanoma Tubingen 33","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",71Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C7RM,"UMT42,Uveal Melanoma Tubingen 42","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C297,"UPMD-1,UPMD1,Uveal Primary Melanoma with Disomy-3 1","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C298,"UPMD-2,UPMD2,Uveal Primary Melanoma with Disomy-3 2","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C299,"UPMM-1,UPMM1,Uveal Primary Melanoma with Monosomy-3 1","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C294,"UPMM-2,UPMM2,Uveal Primary Melanoma with Monosomy-3 2","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C295,"UPMM-3,UPMM3,Uveal Primary Melanoma with Monosomy-3 3","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C296,"UPMM-4,UPMM4,Uveal Primary Melanoma with Monosomy-3 4","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_J307,"VUP-1,VUP 1,VUP",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP04,"VUP-1 V+B2,V+B2",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP05,"VUP-1 V+D9H,V+D9H",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP03,"VUP-1 V-C10,V-C10",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VN99,"VUP-1 V-D9,V-D9",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_J305,VUP15,,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_J306,VUP20,,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_0B74,"WM3618F,WM3618",Right axillary lymph node,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_0B81,"WM3772F,WM3772",Lung,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_K005,YUCRENA,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_K010,YUGLIDE,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
